100
0
-,86,43,2,43,15,64,17,13,25,100,60,84,68,70,50,11,42,1,14,24,86,86,95,13,1,48,26,49,28,7,100,35,44,7,79,81,20,77,49,71,97,14,81,22,25,6,96,72,14,46,27,50,1,77,54,3,26,8,9,3,50,56,23,12,64,28,86,96,77,30,39,20,6,10,66,25,79,33,13,76,57,94,53,56,23,82,99,86,25,28,90,52,42,42,70,85,53,10,62
51,-,61,80,16,10,100,52,71,39,1,4,24,14,43,38,8,29,41,11,13,70,59,54,3,67,71,74,43,3,90,12,46,80,98,72,12,30,13,33,59,60,45,86,44,78,91,54,96,63,68,21,52,28,4,46,80,49,77,90,82,100,15,27,85,62,66,99,48,96,8,87,72,54,58,3,51,53,83,39,50,18,72,8,74,61,89,19,6,91,88,1,93,25,8,83,71,43,19,63
39,72,-,27,27,79,82,32,43,51,52,43,69,15,93,26,48,91,74,4,97,25,66,75,38,29,91,65,26,4,53,10,94,31,54,2,57,23,23,94,34,1,57,53,95,100,92,21,58,25,29,27,52,83,53,78,78,61,69,37,19,75,14,17,12,3,12,20,69,98,95,34,76,9,84,86,5,55,52,23,93,78,62,52,43,81,48,62,97,50,1,37,57,93,85,50,40,41,23,65
40,20,42,-,23,71,90,70,39,52,64,69,36,40,82,10,84,13,3,84,60,16,35,61,26,25,76,59,89,33,11,50,98,65,45,95,68,51,73,22,28,86,78,95,39,81,54,49,76,40,2,26,13,97,12,71,76,66,58,23,63,52,39,86,96,64,84,76,84,41,93,67,71,67,34,85,27,11,32,33,35,53,96,56,30,52,17,40,35,91,6,92,18,86,73,55,6,83,67,40
90,35,12,37,-,23,19,79,85,63,71,25,12,35,91,15,69,67,73,52,85,51,19,16,30,51,66,52,30,19,5,11,51,41,56,30,39,85,53,88,35,45,12,13,9,49,77,94,82,53,74,13,90,7,76,53,20,72,95,14,13,68,15,87,69,87,75,99,95,12,9,56,59,22,4,77,74,72,98,10,53,23,18,44,78,2,77,77,52,89,7,85,75,69,88,5,40,75,31,60
30,77,73,90,51,-,65,10,66,84,24,95,43,26,80,81,15,35,50,51,28,29,8,39,57,1,88,88,88,43,12,62,77,39,86,63,7,70,53,61,62,3,35,98,25,35,98,93,28,5,48,44,75,58,53,21,66,30,98,76,75,9,53,79,8,73,74,2,66,24,49,80,20,24,98,13,52,44,25,54,31,31,59,36,47,14,15,51,49,94,17,90,39,46,74,41,13,75,52,83
17,97,11,84,96,46,-,51,36,25,76,64,39,17,82,98,87,50,31,91,53,100,52,81,92,6,83,17,82,21,86,82,4,78,99,2,77,40,92,98,40,52,86,92,8,55,38,45,20,94,69,19,44,52,7,25,39,43,100,9,12,33,81,25,89,30,8,31,45,89,61,19,80,73,88,42,61,80,83,4,97,29,23,7,76,40,11,30,83,98,44,36,86,2,90,57,2,89,31,39
19,68,47,85,98,58,92,-,80,21,46,63,29,48,39,85,96,18,80,11,63,87,66,50,51,47,87,74,59,22,85,41,87,83,85,74,24,44,39,69,88,16,71,100,78,78,11,58,95,67,59,7,83,49,25,16,57,19,64,78,22,100,12,72,99,18,7,98,42,39,30,60,83,92,94,100,64,95,12,45,35,99,87,12,83,81,53,13,100,29,98,55,98,48,42,24,14,75,29,4
82,56,15,59,14,76,2,83,-,68,33,85,96,19,51,42,71,69,88,15,96,45,62,56,64,88,15,59,2,8,66,99,83,47,36,70,94,93,89,3,48,63,13,33,80,68,98,20,59,84,61,73,72,61,69,95,71,89,62,44,92,39,88,63,65,67,39,65,28,19,71,66,89,73,45,83,64,45,98,77,47,39,73,59,57,74,1,22,5,93,40,68,18,83,46,70,51,40,27,52
27,22,68,12,31,95,37,61,8,-,99,91,80,20,18,87,69,5,38,35,76,39,60,44,11,10,69,19,20,30,21,97,60,83,76,50,75,35,52,94,37,83,64,96,11,50,83,42,70,71,31,8,56,96,38,41,17,49,70,25,84,96,28,47,23,73,22,33,49,27,88,91,2,43,24,34,90,72,93,35,31,53,19,89,6,38,75,73,73,77,17,31,14,75,47,69,57,91,77,61
68,66,79,47,53,56,44,74,29,18,-,36,25,95,50,89,23,50,39,85,55,25,18,16,39,12,6,69,66,63,1,71,85,94,76,74,30,87,13,61,40,99,51,91,25,19,58,43,50,9,6,63,63,67,29,68,37,77,55,1,24,8,33,34,65,47,35,29,49,30,19,64,23,11,71,26,47,43,18,97,31,18,46,80,88,39,95,94,50,30,59,24,85,56,4,62,5,19,79,62
89,9,5,22,29,1,48,87,67,5,70,-,5,94,29,99,43,44,22,92,78,74,35,74,43,90,36,20,100,78,74,83,44,77,37,2,37,51,39,77,58,41,98,58,20,11,80,67,72,40,15,53,17,26,52,85,37,34,43,83,4,65,39,90,12,47,95,15,44,14,42,66,99,24,31,92,2,35,39,79,100,73,33,41,52,38,6,50,93,65,68,97,94,12,45,16,58,29,60,79
78,24,43,55,34,99,65,78,70,48,38,13,-,80,15,33,4,57,90,32,77,85,24,34,48,9,94,20,11,72,59,74,42,92,26,74,38,36,35,68,37,15,22,31,33,35,53,72,69,48,62,58,7,54,17,58,41,33,60,34,57,20,61,9,54,82,56,75,4,87,76,93,93,27,49,18,41,64,83,27,62,76,28,85,55,47,62,74,70,20,18,52,41,32,24,69,45,23,74,33
80,85,60,19,20,22,100,17,99,35,85,17,86,-,2,91,18,100,100,13,68,10,94,3,17,70,76,7,75,32,61,55,27,3,78,95,33,2,98,40,100,31,51,52,44,64,73,69,1,12,17,73,25,31,86,34,90,44,53,26,97,9,59,2,68,54,50,4,59,11,69,90,7,36,97,46,76,18,97,90,4,62,87,10,97,93,31,10,25,77,88,41,36,90,88,9,88,14,59,40
81,17,75,76,54,57,53,5,28,40,72,10,91,68,-,38,17,51,33,99,50,44,93,10,99,80,35,5,57,59,57,24,51,88,56,23,50,57,14,28,47,58,34,53,30,26,2,24,42,39,45,94,37,32,46,19,72,81,7,41,78,45,5,27,81,57,73,58,29,61,99,77,48,48,51,38,8,12,38,86,76,80,48,8,52,44,93,52,78,42,44,43,45,80,31,7,6,9,40,58
82,9,70,36,6,57,32,67,98,12,85,93,12,40,21,-,85,96,38,68,67,62,31,48,46,16,78,20,99,95,43,46,67,61,90,65,10,8,64,43,38,54,69,83,43,74,74,12,70,39,50,40,98,72,21,12,54,86,30,98,26,77,32,11,61,95,90,96,6,79,56,6,8,97,31,58,15,83,3,75,99,54,60,22,69,31,72,77,86,4,27,64,8,34,8,50,46,32,49,69
64,34,96,95,82,66,81,43,61,77,53,25,63,47,20,69,-,31,89,17,94,5,12,24,52,24,23,40,12,45,81,47,24,7,96,65,20,28,59,21,63,24,53,37,47,29,96,10,94,33,69,76,6,13,64,50,88,43,74,71,86,63,10,97,56,88,23,12,8,11,69,82,79,47,81,24,21,21,20,52,94,26,21,22,13,59,58,57,18,2,44,16,7,1,48,12,96,10,22,29
94,20,56,67,65,40,34,72,1,18,85,95,69,62,97,72,89,-,65,92,11,52,91,53,1,11,89,37,45,90,20,66,60,89,72,55,70,90,28,34,51,60,33,62,9,46,79,8,55,100,11,96,19,1,26,67,47,25,95,11,27,64,92,69,68,76,94,77,11,90,13,29,17,4,97,10,79,72,77,68,65,19,38,73,6,25,53,90,18,13,28,24,77,48,30,30,2,85,4,7
