50
0
-,65,4,85,56,83,19,70,47,35,40,99,10,97,64,83,16,83,93,98,60,72,91,79,88,67,83,69,15,67,21,10,45,27,69,24,17,35,31,4,76,29,95,92,58,76,14,12,73,24
28,-,56,22,13,49,78,21,30,4,82,52,61,86,11,60,57,57,49,75,48,97,32,17,91,39,24,1,59,68,3,31,23,70,11,17,16,14,68,88,96,7,6,16,13,23,98,93,84,78
63,44,-,49,58,21,47,72,90,45,28,30,84,30,61,25,20,40,28,32,65,79,95,61,25,52,16,8,89,42,42,47,52,11,77,26,77,46,59,48,22,11,83,30,69,40,35,2,8,27
19,27,75,-,35,94,27,88,40,44,70,68,49,79,32,78,93,19,67,94,43,50,7,72,76,84,56,26,3,54,39,78,83,42,49,69,3,50,11,49,100,77,99,8,41,98,24,84,7,19
73,31,51,52,-,47,55,98,64,6,99,90,75,50,99,22,47,8,5,13,54,97,54,36,50,9,17,80,3,87,100,42,23,75,66,23,5,9,99,39,56,97,83,18,83,30,99,35,97,76
42,46,83,24,79,-,77,93,85,56,20,70,21,98,73,68,73,39,35,76,63,48,20,56,89,24,70,90,73,89,83,30,52,94,37,33,95,46,6,95,83,38,41,94,23,36,23,45,42,54
17,75,21,63,91,35,-,27,42,88,92,81,43,24,27,1,16,97,42,21,77,71,56,48,55,37,96,6,86,78,75,43,48,79,58,43,52,73,47,53,67,80,16,96,52,19,40,3,93,78
4,98,54,30,14,92,2,-,19,28,76,10,37,26,87,80,88,39,65,80,55,34,80,88,47,100,9,88,23,87,93,23,82,66,51,96,19,34,76,19,71,88,60,96,78,50,68,94,89,2
65,65,60,64,64,14,50,11,-,33,8,49,1,84,15,30,100,24,55,19,59,6,34,21,66,34,37,13,26,35,44,3,4,20,52,89,67,43,55,43,47,51,62,41,38,48,82,46,27,68
41,97,83,94,71,4,83,60,35,-,42,88,11,91,21,66,49,57,15,14,21,17,30,65,84,64,29,70,10,76,14,43,41,56,54,12,31,82,9,98,23,25,56,69,75,68,3,73,3,22
56,67,91,34,81,90,88,69,79,47,-,80,68,35,64,59,79,86,75,10,34,84,59,27,79,75,57,91,66,39,38,59,33,14,66,35,22,8,4,7,89,59,48,45,45,97,53,58,62,10
70,67,60,8,24,91,49,57,70,50,59,-,52,32,58,96,84,10,42,54,92,59,9,30,3,11,24,3,47,98,12,10,65,52,75,38,83,14,15,96,11,4,43,62,52,96,91,41,38,22
50,56,76,48,55,73,24,16,57,73,59,87,-,87,86,86,23,36,47,65,15,99,74,75,73,12,60,44,96,17,60,64,100,22,91,28,76,41,89,67,95,84,1,9,89,37,94,48,15,19
70,43,47,12,32,54,57,44,10,37,33,64,89,-,63,36,75,61,47,41,26,70,90,7,55,93,25,98,20,53,28,91,6,60,71,65,74,98,82,58,50,54,88,49,25,98,27,7,61,32
72,83,1,12,88,18,13,39,97,88,19,24,91,50,-,15,11,15,16,53,9,99,89,57,3,38,5,89,15,44,78,42,62,33,43,40,76,10,35,54,9,7,92,98,15,97,27,32,2,90
89,72,86,27,39,59,95,72,41,53,14,41,53,15,71,-,56,77,5,99,65,81,36,44,8,29,75,30,7,2,95,71,92,75,60,97,96,23,74,51,35,12,71,49,9,74,71,82,17,11
81,66,34,14,2,2,70,48,40,36,28,45,59,27,100,85,-,36,41,68,92,11,77,13,38,59,38,98,87,91,80,90,37,53,95,70,48,91,14,59,53,2,6,14,78,38,72,73,1,48
24,91,75,88,88,66,22,75,58,16,21,97,32,21,13,3,87,-,30,10,82,10,58,51,91,1,47,55,68,74,100,12,71,52,48,70,90,65,75,43,53,56,17,9,43,60,19,48,55,85
5,4,9,32,50,34,8,68,22,99,54,24,30,38,73,63,40,68,-,13,71,91,42,24,80,42,54,44,9,87,80,4,65,69,13,92,87,1,22,54,25,17,65,95,19,37,47,12,20,79
33,46,25,15,90,72,61,45,2,1,43,63,25,41,23,89,13,82,68,-,70,62,72,65,10,12,40,80,87,57,9,96,86,14,93,54,7,40,48,58,42,55,68,51,33,41,77,12,45,19
69,96,53,80,50,56,18,100,17,78,41,97,25,74,75,14,2,34,2,8,-,95,71,75,63,87,6,53,80,8,38,58,8,96,50,61,8,54,89,32,92,36,71,4,88,8,32,5,83,63
19,93,14,63,55,92,77,80,46,14,27,49,28,14,6,84,33,16,21,63,8,-,19,10,68,65,81,51,22,39,8,61,88,76,55,91,44,53,35,77,40,9,66,61,43,3,95,97,15,6
4,61,3,44,43,87,97,68,95,27,98,40,35,26,44,90,1,96,83,95,75,53,-,95,72,61,97,5,20,71,41,91,94,60,41,75,36,5,73,92,20,40,61,73,77,85,27,18,29,5
92,54,35,31,25,83,14,50,5,20,20,88,42,78,27,32,37,66,1,13,24,22,62,-,87,16,62,39,11,17,56,13,17,32,92,58,86,40,84,4,5,81,64,82,47,85,83,2,100,8
34,64,48,9,79,94,28,90,38,13,28,15,56,19,57,14,75,35,84,93,88,32,90,87,-,45,86,32,6,56,79,22,40,80,64,76,55,88,94,54,31,80,5,87,74,90,70,57,31,54
67,89,97,100,94,97,59,81,48,100,8,28,70,85,82,71,57,11,64,21,2,68,63,80,75,-,80,66,70,68,69,8,97,82,77,97,77,46,4,82,53,39,42,65,90,42,8,14,74,65
28,15,58,75,71,68,47,4,63,5,51,9,76,66,29,42,84,67,8,40,90,4,86,56,82,23,-,28,46,21,74,56,85,21,2,2,43,43,39,50,69,12,70,55,80,48,5,81,25,2
2,50,86,62,14,76,81,21,40,26,82,81,4,30,45,13,87,7,54,97,5,61,99,32,53,39,2,-,76,69,70,85,64,99,58,24,18,28,73,27,64,53,7,75,39,63,57,68,2,100
42,90,29,39,86,80,8,92,39,74,65,86,81,82,36,28,50,30,28,16,12,62,26,37,11,89,25,47,-,45,10,42,79,79,6,76,49,38,32,65,44,22,27,11,49,1,61,91,84,45
