150
0
-,35,73,46,13,57,85,78,34,83,1,14,27,8,25,36,66,81,18,34,57,51,68,33,87,98,58,70,30,38,98,65,55,26,26,84,93,51,15,47,28,72,31,1,57,37,35,20,5,47,87,5,10,37,73,50,31,23,7,11,78,28,22,98,33,35,86,85,79,68,19,17,5,87,68,19,71,84,81,45,26,18,40,18,67,24,79,21,68,27,73,51,99,67,94,5,16,33,20,94,19,39,60,55,71,81,76,97,79,35,86,2,96,36,53,61,89,58,15,13,40,33,39,74,65,42,60,47,96,90,56,41,71,24,2,65,85,68,91,41,31,67,44,96,49,83,5,86,76,52
93,-,94,50,80,69,83,54,65,42,79,36,26,57,20,81,67,69,80,67,61,15,90,87,69,96,85,25,66,79,77,7,23,52,99,30,49,69,71,52,5,30,62,4,97,10,100,98,88,84,92,52,4,96,15,9,12,22,89,13,47,60,40,4,72,6,30,84,64,31,97,50,76,92,40,68,34,84,81,30,66,85,74,2,94,47,71,83,36,19,6,91,60,14,17,33,54,82,24,80,15,27,94,31,49,45,60,84,25,92,67,40,9,10,97,75,43,47,37,28,23,41,64,34,11,57,29,35,18,99,9,67,24,73,64,92,8,71,5,52,84,34,79,30,64,55,92,22,18,87
30,67,-,89,80,21,6,66,54,99,3,42,19,90,69,6,8,49,37,94,55,53,32,37,25,6,50,82,43,52,45,24,8,78,21,74,88,12,61,62,1,3,24,75,46,48,56,22,16,67,81,9,19,25,90,44,43,11,9,71,48,55,20,65,78,94,95,90,36,27,17,49,72,65,50,43,41,61,28,98,38,43,26,98,12,45,50,62,95,3,29,76,29,82,74,84,68,65,62,34,55,25,87,6,48,40,9,41,61,34,35,18,31,63,72,49,95,72,59,63,29,96,89,43,74,43,3,78,28,81,86,86,40,6,81,70,28,79,78,52,42,68,76,49,14,23,78,88,85,82
37,19,19,-,56,62,96,94,60,92,61,76,62,45,9,10,89,41,7,23,17,18,48,75,67,9,23,69,44,90,1,26,39,71,84,51,10,65,58,3,19,35,68,15,31,12,56,41,10,1,49,45,29,91,41,67,77,42,60,86,69,11,30,72,5,42,40,45,71,53,1,41,81,91,26,75,11,78,71,66,83,44,65,6,11,89,89,16,81,58,76,80,89,95,28,74,41,59,10,53,32,62,3,31,6,70,43,82,63,47,38,18,31,96,92,87,73,73,69,87,37,69,73,42,59,48,1,22,38,4,10,68,61,59,6,3,77,45,25,77,55,96,76,49,18,60,49,52,98,9
10,84,22,93,-,49,6,19,93,21,55,21,29,12,19,96,34,53,47,76,86,93,31,74,61,26,20,5,99,13,6,86,7,90,100,54,38,1,59,1,98,98,58,7,13,14,87,14,79,55,59,24,96,38,97,6,85,63,57,19,18,24,58,52,38,4,92,56,13,42,52,66,93,83,73,8,89,60,60,96,85,65,88,32,52,31,49,6,68,80,39,28,8,9,84,89,34,69,65,25,72,48,19,17,8,54,6,42,16,4,11,72,43,88,10,4,25,84,80,55,6,51,25,20,25,43,18,28,20,15,89,50,92,82,89,28,1,21,89,18,5,10,51,4,95,62,22,57,53,14
99,83,96,65,99,-,72,98,35,27,36,92,3,82,76,7,36,6,88,2,6,64,27,89,27,1,70,66,43,93,1,57,69,46,59,41,67,96,12,92,40,9,21,85,38,38,30,43,72,42,43,51,53,61,15,96,44,27,27,2,44,40,82,46,98,48,19,6,97,55,98,15,17,98,97,50,80,31,21,84,10,74,5,60,73,12,78,38,77,39,10,62,20,98,72,57,13,50,33,4,9,92,44,74,45,13,71,63,70,18,26,84,83,76,20,40,40,41,19,52,79,5,73,82,91,24,66,84,93,59,75,58,16,65,51,93,7,27,50,54,42,17,6,87,86,18,97,99,48,4
41,79,27,80,5,34,-,52,37,75,51,91,44,34,64,73,80,93,93,21,5,79,86,33,47,36,88,82,3,36,13,58,56,60,50,14,13,23,76,49,96,16,98,95,24,67,23,28,48,83,92,24,11,7,57,40,7,76,20,22,66,90,68,16,62,16,49,73,71,98,90,20,44,56,29,81,99,88,46,77,39,82,59,77,22,49,97,43,19,100,67,26,78,73,47,26,21,40,10,94,24,5,23,9,78,68,31,46,85,49,76,5,45,9,38,21,27,42,88,2,83,78,93,69,93,93,86,85,46,1,2,21,24,20,35,15,59,22,18,79,38,68,86,91,90,72,70,77,51,20
37,31,13,13,55,87,87,-,55,87,31,44,26,82,91,38,22,97,80,92,36,37,46,34,92,68,52,70,59,22,72,100,32,5,77,82,55,84,80,9,80,30,67,62,18,85,42,25,33,10,100,68,55,40,67,80,11,34,6,96,61,13,65,33,82,66,78,1,84,89,14,61,41,50,96,11,22,15,2,76,53,76,26,66,78,72,58,87,20,41,85,36,88,32,16,89,66,39,35,87,17,4,3,93,29,45,14,61,83,41,91,48,4,21,23,40,16,26,58,81,74,68,54,8,1,69,77,88,13,81,29,6,16,100,6,46,26,43,85,25,12,55,25,87,94,18,57,80,88,99
80,2,7,30,6,3,27,8,-,22,84,30,94,37,37,81,1,13,61,93,48,35,14,50,86,92,13,25,84,4,64,28,19,57,61,15,79,79,63,71,95,38,65,6,48,97,94,57,56,33,91,53,19,40,72,46,74,26,47,1,71,90,38,87,46,73,18,1,1,84,19,77,31,69,100,34,17,2,40,84,72,34,34,74,9,45,66,67,64,78,54,1,58,7,63,58,100,21,66,68,25,41,90,42,25,20,2,22,68,40,9,33,95,94,86,12,71,70,19,43,4,86,15,39,73,16,44,67,77,18,47,35,27,60,12,34,26,63,90,79,3,11,51,59,91,46,23,54,7,32
15,80,70,11,61,27,42,45,44,-,95,19,4,15,52,48,13,70,48,27,15,88,68,75,23,61,53,83,75,40,73,61,25,97,84,76,60,48,88,38,20,36,34,19,30,8,58,57,14,50,46,39,36,53,42,73,33,43,42,92,89,31,64,75,16,77,92,14,81,42,74,68,24,17,23,46,44,73,81,73,24,97,64,45,42,45,13,49,64,40,29,18,83,8,93,64,64,14,58,2,7,63,79,43,82,24,61,54,82,3,87,22,5,37,84,74,88,40,67,46,7,51,98,1,32,73,22,12,50,99,56,47,85,67,7,37,34,38,12,83,30,74,14,28,54,48,46,17,100,42
61,90,85,87,77,66,26,95,21,87,-,66,46,76,87,68,98,94,28,26,44,30,68,37,49,70,8,94,98,11,54,53,34,11,44,97,16,88,29,35,65,54,5,64,64,37,10,10,54,83,24,89,65,46,28,49,3,82,83,61,75,63,90,90,51,80,26,60,87,10,13,79,90,60,39,18,15,38,71,50,30,41,72,6,4,93,84,10,70,35,20,70,51,49,72,16,52,94,30,1,82,55,71,57,9,3,98,70,96,16,59,69,74,89,75,97,94,1,100,91,89,70,59,30,37,93,8,73,79,81,100,97,24,50,30,10,86,5,55,74,50,10,50,26,1,18,43,33,84,33
